timeid,DateTime,year,month,day,hour,minute
0,2017-01-11T00:00,2017,1,11,0,0
1,2017-01-11T00:03,2017,1,11,0,3
2,2017-01-11T00:02,2017,1,11,0,2
3,2017-01-11T00:04,2017,1,11,0,4
4,2017-01-11T00:05,2017,1,11,0,5
5,2017-01-11T00:11,2017,1,11,0,11
6,2017-01-11T00:09,2017,1,11,0,9
7,2017-01-11T00:13,2017,1,11,0,13
8,2017-01-11T00:12,2017,1,11,0,12
9,2017-01-11T00:16,2017,1,11,0,16
10,2017-01-11T00:19,2017,1,11,0,19
11,2017-01-11T00:18,2017,1,11,0,18
12,2017-01-11T00:20,2017,1,11,0,20
13,2017-01-11T00:23,2017,1,11,0,23
14,2017-01-11T00:22,2017,1,11,0,22
15,2017-01-11T00:28,2017,1,11,0,28
16,2017-01-11T00:27,2017,1,11,0,27
17,2017-01-11T00:06,2017,1,11,0,6
18,2017-01-11T00:14,2017,1,11,0,14
19,2017-01-11T00:17,2017,1,11,0,17
20,2017-01-11T00:26,2017,1,11,0,26
21,2017-01-11T00:24,2017,1,11,0,24
22,2017-01-11T00:01,2017,1,11,0,1
23,2017-01-11T00:10,2017,1,11,0,10
24,2017-01-11T00:15,2017,1,11,0,15
25,2017-01-11T00:21,2017,1,11,0,21
26,2017-01-11T00:25,2017,1,11,0,25
27,2017-01-11T00:29,2017,1,11,0,29
28,2017-01-11T00:07,2017,1,11,0,7
29,2017-01-11T00:08,2017,1,11,0,8
30,2017-01-11T00:30,2017,1,11,0,30
31,2017-01-11T00:32,2017,1,11,0,32
32,2017-01-11T00:33,2017,1,11,0,33
33,2017-01-11T00:36,2017,1,11,0,36
34,2017-01-11T00:37,2017,1,11,0,37
35,2017-01-11T00:38,2017,1,11,0,38
36,2017-01-11T00:39,2017,1,11,0,39
37,2017-01-11T00:43,2017,1,11,0,43
38,2017-01-11T00:42,2017,1,11,0,42
39,2017-01-11T00:47,2017,1,11,0,47
40,2017-01-11T00:49,2017,1,11,0,49
41,2017-01-11T00:50,2017,1,11,0,50
42,2017-01-11T00:51,2017,1,11,0,51
43,2017-01-11T00:53,2017,1,11,0,53
44,2017-01-11T00:56,2017,1,11,0,56
45,2017-01-11T00:55,2017,1,11,0,55
46,2017-01-11T00:57,2017,1,11,0,57
47,2017-01-11T00:31,2017,1,11,0,31
48,2017-01-11T00:34,2017,1,11,0,34
49,2017-01-11T00:41,2017,1,11,0,41
50,2017-01-11T00:40,2017,1,11,0,40
51,2017-01-11T00:44,2017,1,11,0,44
52,2017-01-11T00:45,2017,1,11,0,45
53,2017-01-11T00:48,2017,1,11,0,48
54,2017-01-11T00:54,2017,1,11,0,54
55,2017-01-11T00:58,2017,1,11,0,58
56,2017-01-11T00:35,2017,1,11,0,35
57,2017-01-11T00:46,2017,1,11,0,46
58,2017-01-11T00:52,2017,1,11,0,52
59,2017-01-11T00:59,2017,1,11,0,59
60,2017-01-11T01:01,2017,1,11,1,1
61,2017-01-11T01:04,2017,1,11,1,4
62,2017-01-11T01:03,2017,1,11,1,3
63,2017-01-11T01:07,2017,1,11,1,7
64,2017-01-11T01:08,2017,1,11,1,8
65,2017-01-11T01:05,2017,1,11,1,5
66,2017-01-11T01:06,2017,1,11,1,6
67,2017-01-11T01:11,2017,1,11,1,11
68,2017-01-11T01:10,2017,1,11,1,10
69,2017-01-11T01:14,2017,1,11,1,14
70,2017-01-11T01:16,2017,1,11,1,16
71,2017-01-11T01:15,2017,1,11,1,15
72,2017-01-11T01:22,2017,1,11,1,22
73,2017-01-11T01:21,2017,1,11,1,21
74,2017-01-11T01:24,2017,1,11,1,24
75,2017-01-11T01:26,2017,1,11,1,26
76,2017-01-11T01:23,2017,1,11,1,23
77,2017-01-11T01:28,2017,1,11,1,28
78,2017-01-11T01:17,2017,1,11,1,17
79,2017-01-11T01:19,2017,1,11,1,19
80,2017-01-11T01:25,2017,1,11,1,25
81,2017-01-11T01:02,2017,1,11,1,2
82,2017-01-11T01:12,2017,1,11,1,12
83,2017-01-11T01:20,2017,1,11,1,20
84,2017-01-11T01:29,2017,1,11,1,29
85,2017-01-11T01:00,2017,1,11,1,0
86,2017-01-11T01:09,2017,1,11,1,9
87,2017-01-11T01:18,2017,1,11,1,18
88,2017-01-11T01:13,2017,1,11,1,13
89,2017-01-11T01:27,2017,1,11,1,27
90,2017-01-11T01:33,2017,1,11,1,33
91,2017-01-11T01:32,2017,1,11,1,32
92,2017-01-11T01:39,2017,1,11,1,39
93,2017-01-11T01:41,2017,1,11,1,41
94,2017-01-11T01:40,2017,1,11,1,40
95,2017-01-11T01:42,2017,1,11,1,42
96,2017-01-11T01:43,2017,1,11,1,43
97,2017-01-11T01:48,2017,1,11,1,48
98,2017-01-11T01:52,2017,1,11,1,52
99,2017-01-11T01:50,2017,1,11,1,50
100,2017-01-11T01:53,2017,1,11,1,53
101,2017-01-11T01:51,2017,1,11,1,51
102,2017-01-11T01:54,2017,1,11,1,54
103,2017-01-11T01:56,2017,1,11,1,56
104,2017-01-11T01:59,2017,1,11,1,59
105,2017-01-11T01:34,2017,1,11,1,34
106,2017-01-11T01:46,2017,1,11,1,46
107,2017-01-11T01:45,2017,1,11,1,45
108,2017-01-11T01:49,2017,1,11,1,49
109,2017-01-11T01:35,2017,1,11,1,35
110,2017-01-11T01:37,2017,1,11,1,37
111,2017-01-11T01:47,2017,1,11,1,47
112,2017-01-11T01:31,2017,1,11,1,31
113,2017-01-11T01:36,2017,1,11,1,36
114,2017-01-11T01:44,2017,1,11,1,44
115,2017-01-11T01:38,2017,1,11,1,38
116,2017-01-11T01:58,2017,1,11,1,58
117,2017-01-11T01:55,2017,1,11,1,55
118,2017-01-11T01:30,2017,1,11,1,30
119,2017-01-11T01:57,2017,1,11,1,57
120,2017-01-11T02:00,2017,1,11,2,0
121,2017-01-11T02:01,2017,1,11,2,1
122,2017-01-11T02:03,2017,1,11,2,3
123,2017-01-11T02:06,2017,1,11,2,6
124,2017-01-11T02:09,2017,1,11,2,9
125,2017-01-11T02:11,2017,1,11,2,11
126,2017-01-11T02:14,2017,1,11,2,14
127,2017-01-11T02:12,2017,1,11,2,12
128,2017-01-11T02:13,2017,1,11,2,13
129,2017-01-11T02:17,2017,1,11,2,17
130,2017-01-11T02:19,2017,1,11,2,19
131,2017-01-11T02:22,2017,1,11,2,22
132,2017-01-11T02:21,2017,1,11,2,21
133,2017-01-11T02:20,2017,1,11,2,20
134,2017-01-11T02:23,2017,1,11,2,23
