titleid,title
0, Shark attacks spearfisherman
1, Chilean navy films UFO
2,Exclusive CCTV footage of Minto attack released
3,Blue shark washes up on St Kilda beach
4, Celebrity reaction to Streep’s anti-Trump speech
5, Australian pedophile extradited to US
6,Frog allegedly found in Coles lettuce
7, McDonald's workers brawl over apple pies
8, Massive brawl at US jail
9,Woman killed in tourist plane crash on central Queensland beach
10, Man wins big in roulette
11, Avalanche buries hotel guests in back of TV interview
12, Video shows alleged axe attack at Sydney service station
13,Young Queensland riders pile on motorbike with no helmets
14, Driver takes on flood waters in rain drenched Melbourne
15,iPhone evolution
16, Australian couple ‘stranded’ on glacier in Iceland
17, Child pulled from crash wreckage
18,Gold Coast stunt performers rehearse ahead ‘Aquaman’ filming
19,Frozen waterfall collapses on woman
20,Melbourne study links family history of breast cancer to prostate cancer
21, Pastor films disabled woman being towed
22,William Tyrrell twist
23,Boyfriend from hell
24,Pint-sized Aussie surfer hits the global stage
25,Achieving goals with self-hypnosis
26, Van crashes into e-scooter user at pedestrian crossing
27,Dramatic arrest after police pursuit in Sydney’s south-west
28,Explore Melbourne with basketballer Liz Cambage
29, Two men hospitalised after allegedly being glassed at Sydney hotel
30,Million dollar Maria
31,Tamworth Country Music Festival
32,Swimmers evacuated after shark sighting at Melbourne beaches
33,Episode 191
34, Kim Kardashian breaks silence about October robbery
35,Chris Sandow escapes conviction over New Year's Day street brawl
36,Back to school bargain
37,Meryl Streep Slams Donald Trump in Cecil B. DeMille Award Speech
38,Sunscreen warning
39, Woman walking dog films blue shark on Melbourne beach
40,Bali overrun by 6000 Australian teens for Schoolies week
41,Sydney servo axe attack caught on CCTV
42,Cold-blooded killer
43,Mother charged with 1996 manslaughter of Cairns baby
44,Episode 2
45,SA
46,Floodwater fisherman to 'run for PM'
47,Surfing Groms
48,Surfer knocked from board by shark at Cronulla
49,Richard Wilkins interviews Robin Hood 702
50,Police officer thrown to the ground at Cabramatta
51, Pet deer shot by game warden
52, Hammerhead shark attacks whaler shark
53, Two US police officers take a selfie in front of a burning house
54,Penny and Leonard turn Sheldon's room into a sex dungeon
